,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
43,Perfumes de hombre,Rasasi,Shuhrah Pour Homme,Eau de Parfum para hombre 90 ml,"47,80€",-15 %,"24,70",4.3,129
44,Perfumes de hombre,Lattafa,Pride Ishq Al Shuyukh Gold,Eau de Parfum unisex 100 ml,Es el precio con desc,-15 %,"56,00",Sin valoracion,Sin valoraciones
45,Perfumes de hombre,Afnan,9 PM,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"41,10",Sin valoracion,Sin valoraciones
46,Perfumes de hombre,Al Haramain,Amber Oud Tobacco Edition,Eau de Parfum unisex 60 ml,"96,03€",-15 %,"54,30",4.6,28
47,Perfumes de hombre,Versace,Pour Homme Oud Noir,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"110,00",Sin valoracion,Sin valoraciones
48,Perfumes de hombre,Bentley,For Men Intense,Eau de Parfum para hombre 100 ml,"89,00€",-15 %,"29,50",4.5,122
49,Perfumes de hombre,Lattafa,Badee Al Oud Oud For Glory,Eau de Parfum unisex 100 ml,"27,70€",Sin descuento,"26,00",4.4,12
50,Perfumes de hombre,Lattafa,Fakhar Lattafa Men,Eau de Parfum para hombre 100 ml,"36,70€",-15 %,"18,30",4.2,9
51,Perfumes de hombre,Lattafa,Ameer Al Oudh Intense Oud,Eau de Parfum unisex 100 ml,"33,70€",-15 %,"20,80",4.3,25
52,Perfumes de hombre,Lattafa,Asad,Eau de Parfum para hombre 100 ml,"60,10€",-15 %,"25,50",4.6,19
53,Perfumes de hombre,Lattafa,Qaed Al Fursan,Eau de Parfum unisex 90 ml,"28,00€",-15 %,"18,20",4.4,18
54,Perfumes de hombre,Afnan,Supremacy Not Only Intense,extracto de perfume para hombre 100 ml,Es el precio con desc,-15 %,"49,90",Sin valoracion,Sin valoraciones
55,Perfumes de hombre,Lattafa,Badee Al Oud Ametyst,Eau de Parfum para mujer 100 ml,"49,50€",-15 %,"32,00",4.2,23
56,Perfumes de hombre,Al Haramain,Détour noir,Eau de Parfum para hombre 100 ml,"59,30€",-15 %,"31,70",4.4,16
57,Perfumes de hombre,Rasasi,Daarej Pour Homme,Eau de Parfum para hombre 100 ml,"34,80€",-15 %,"17,80",4.3,53
58,Perfumes de hombre,Lattafa,Sheikh Al Shuyukh Luxe Edition,Eau de Parfum unisex 100 ml,"27,30€",-15 %,"18,20",4.6,27
59,Perfumes de hombre,Afnan,Turathi Blue Homme,Eau de Parfum para hombre 90 ml,"37,20€",-15 %,"34,90",4.6,44
60,Perfumes de hombre,Lattafa,Opulent Red,Eau de Parfum unisex 100 ml,"32,80€",-15 %,"18,10",4.7,29
61,Perfumes de hombre,Rasasi,Shuhrah Pour Homme,Eau de Parfum para hombre 90 ml,"47,80€",-15 %,"24,70",4.3,129
62,Perfumes de hombre,Al Haramain,Amber Oud Gold Edition,Eau de Parfum unisex 60 ml,"104,22€",-15 %,"54,50",4.9,17
63,Perfumes de hombre,Afnan,9 PM,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"41,10",Sin valoracion,Sin valoraciones
64,Perfumes de hombre,Lattafa,Pride Ishq Al Shuyukh Gold,Eau de Parfum unisex 100 ml,Es el precio con desc,-15 %,"56,00",Sin valoracion,Sin valoraciones
65,Perfumes de hombre,Al Haramain,Amber Oud Tobacco Edition,Eau de Parfum unisex 60 ml,"96,03€",-15 %,"54,30",4.6,28
66,Perfumes de hombre,Al Haramain,L'Aventure,Eau de Parfum para hombre,"21,20€",Sin descuento,"19,90",4.3,18
67,Perfumes de hombre,Just Jack,Tobacco Leaf,Eau de Parfum unisex,"27,49€",-15 %,"11,50",4.7,22
68,Perfumes de hombre,Lalique,Encre Noire A L'Extreme,Eau de Parfum para hombre 100 ml,"123,00€",-15 %,"29,80",4.4,40
69,Perfumes de hombre,Lattafa,Opulent Oud,Eau de Parfum unisex 100 ml,"28,40€",-15 %,"22,90",4.7,10
70,Perfumes de hombre,Rasasi,Fattan Pour Homme,Eau de Parfum para hombre 50 ml,"28,40€",-15 %,"14,50",4.4,29
