tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
primor,hombre,nike,indigo man ,eau de toilette,9.5,0.0,9.5,4.8,5.0
primor,hombre,nenuco, spray,eau de cologne,3.95,0.0,3.95,4.69,16.0
primor,hombre,4711,4711  original tamaño viaje,eau de cologne,9.0,67.0,2.97,4.58,19.0
primor,hombre,yves saint laurent,y le  perfume de hombre,parfum,110.0,50.0,55.0,4.86,7.0
primor,hombre,mont blanc,legend ,eau de toilette,71.0,50.0,35.5,4.8,15.0
primor,hombre,legrain,royale ambree ,eau de cologne,8.99,5.0,8.54,4.75,12.0
primor,hombre,givenchy,gentleman ,eau de parfum,91.5,40.0,54.9,5.0,5.0
primor,hombre,paco rabanne,black xs ,eau de toilette,67.5,41.0,39.83,4.68,31.0
primor,hombre,dolce & gabbana,k by dolce & gabbana eau de ,eau de parfum,90.0,45.0,49.5,4.89,18.0
primor,hombre,ralph lauren,polo blue eau de ,eau de parfum,92.0,52.0,44.16,4.83,18.0
primor,hombre,gucci,guilty eau de  pour homme,eau de parfum,94.4,55.0,42.48,0.0,0.0
primor,hombre,sentio,confirmation eau de ,eau de parfum,1.0,0.0,1.0,0.0,0.0
primor,hombre,mont blanc,explorer ,eau de parfum,106.0,49.0,54.06,4.83,24.0
primor,hombre,carolina herrera,bad boy ,eau de toilette,79.5,33.0,53.26,4.95,19.0
primor,hombre,calvin klein,eternity intense for men ,parfum,83.7,53.0,39.34,4.67,3.0
primor,hombre,jaguar,classic blue ,eau de toilette,80.0,82.0,14.4,3.0,1.0
primor,hombre,kenzo,homme  intense,eau de toilette,56.0,45.0,30.8,4.42,12.0
primor,hombre,adolfo dominguez,agua fresca ,eau de toilette,36.5,40.0,21.9,4.79,34.0
primor,hombre,calvin klein,everyone ,eau de toilette,76.0,61.0,29.64,5.0,14.0
primor,hombre,dolce & gabbana,light blue men ,eau de toilette,86.0,42.0,49.88,4.9,21.0
primor,hombre,prada,l'homme ,eau de toilette,90.0,47.0,47.7,4.86,7.0
primor,hombre,boucheron,pour homme ,eau de parfum,121.0,73.0,32.67,4.0,4.0
primor,hombre,ralph lauren,ralph's club ,eau de parfum,95.0,58.0,39.9,5.0,2.0
primor,hombre,azzaro,azzaro sport ,eau de toilette,51.14,57.0,21.99,5.0,1.0
primor,hombre,puig,agua brava ,eau de cologne,26.0,38.0,16.12,4.76,21.0
primor,hombre,clinique,happy for men ,eau de toilette,71.0,0.0,71.0,5.0,4.0
primor,hombre,antonio banderas,the secret temptation ,eau de toilette,16.95,18.0,13.9,4.78,9.0
primor,hombre,benetton,colors man blue ,eau de toilette,14.95,13.0,13.01,4.57,7.0
primor,hombre,mont blanc,legend eau de ,eau de parfum,104.0,50.0,52.0,5.0,8.0
primor,hombre,saphir,perfect man pour homme ,eau de parfum,12.9,0.0,12.9,4.88,16.0
primor,hombre,versace,eros eau de ,eau de parfum,92.0,40.0,55.2,4.91,11.0
