,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
0,Perfumes de hombre,Hugo Boss,BOSS The Scent Absolute,Eau de Parfum para hombre,"134,00€",-15 %,"45,40",5,3
1,Perfumes de hombre,Versace,Eros,Eau de Toilette para hombre,Es el precio con desc,-15 %,"57,50",Sin valoracion,Sin valoraciones
2,Perfumes de hombre,Versace,Pour Homme,Eau de Toilette para hombre,Es el precio con desc,-15 %,"47,00",Sin valoracion,Sin valoraciones
3,Perfumes de hombre,Sin marca,Sin nombre,Sin categoria,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
4,Perfumes de hombre,Narciso Rodriguez,for him Bleu Noir,Eau de Parfum para hombre,"110,00€",-15 %,"57,50",5,1
5,Perfumes de hombre,NOVELLISTA,Unique Wood,Eau de Parfum unisex,Es el precio con desc,-15 %,"39,10",Sin valoracion,Sin valoraciones
6,Perfumes de hombre,Armaf,Club de Nuit Man Intense,Eau de Toilette para hombre 105 ml,"102,70€",-15 %,"42,40",4.2,39
7,Perfumes de hombre,Bentley,For Men Intense,Eau de Parfum para hombre 100 ml,"89,00€",-15 %,"29,50",4.5,122
8,Perfumes de hombre,Lattafa,Ameer Al Oudh Intense Oud,Eau de Parfum unisex 100 ml,"33,70€",-15 %,"20,80",4.3,25
9,Perfumes de hombre,Lattafa,Asad,Eau de Parfum para hombre 100 ml,"60,10€",-15 %,"25,50",4.6,19
10,Perfumes de hombre,Rasasi,Daarej Pour Homme,Eau de Parfum para hombre 100 ml,"34,80€",-15 %,"17,80",4.3,53
11,Perfumes de hombre,Afnan,Turathi Blue Homme,Eau de Parfum para hombre 90 ml,"37,20€",-15 %,"34,90",4.6,44
12,Perfumes de hombre,Lattafa,Qaed Al Fursan,Eau de Parfum unisex 90 ml,"28,00€",-15 %,"18,20",4.4,18
13,Perfumes de hombre,Lattafa,Badee Al Oud Oud For Glory,Eau de Parfum unisex 100 ml,"27,70€",Sin descuento,"26,00",4.4,12
14,Perfumes de hombre,Al Haramain,Détour noir,Eau de Parfum para hombre 100 ml,"59,30€",-15 %,"31,70",4.4,16
15,Perfumes de hombre,Lattafa,Fakhar Lattafa Men,Eau de Parfum para hombre 100 ml,"36,70€",-15 %,"18,30",4.2,9
16,Perfumes de hombre,Afnan,Supremacy Not Only Intense,extracto de perfume para hombre 100 ml,Es el precio con desc,-15 %,"49,90",Sin valoracion,Sin valoraciones
17,Perfumes de hombre,Rasasi,Fattan Pour Homme,Eau de Parfum para hombre 50 ml,"28,40€",-15 %,"14,50",4.4,29
18,Perfumes de hombre,Afnan,9 PM,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"41,10",Sin valoracion,Sin valoraciones
19,Perfumes de hombre,Lalique,Encre Noire Sport,Eau de Toilette para hombre 100 ml,"96,00€",-15 %,"22,50",4.3,93
20,Perfumes de hombre,Rasasi,Shuhrah Pour Homme,Eau de Parfum para hombre 90 ml,"47,80€",-15 %,"24,70",4.3,129
21,Perfumes de hombre,Lattafa,Sheikh Al Shuyukh Luxe Edition,Eau de Parfum unisex 100 ml,"27,30€",-15 %,"18,20",4.6,27
22,Perfumes de hombre,Lalique,Encre Noire,Eau de Toilette para hombre,"103,00€",-15 %,"24,70",4.7,112
23,Perfumes de hombre,Lattafa,Badee Al Oud Ametyst,Eau de Parfum para mujer 100 ml,"49,50€",-15 %,"32,00",4.2,23
24,Perfumes de hombre,Lattafa,Malik Al Tayoor Concentrated,Eau de Parfum unisex 100 ml,"26,50€",-15 %,"14,90",4.2,4
25,Perfumes de hombre,Lalique,Encre Noire A L'Extreme,Eau de Parfum para hombre 100 ml,"123,00€",-15 %,"29,80",4.4,40
26,Perfumes de hombre,Bentley,For Men Intense,Eau de Parfum para hombre 100 ml,"89,00€",-15 %,"29,50",4.5,122
27,Perfumes de hombre,Lattafa,Badee Al Oud Oud For Glory,Eau de Parfum unisex 100 ml,"27,70€",Sin descuento,"26,00",4.4,12
28,Perfumes de hombre,Lattafa,Fakhar Lattafa Men,Eau de Parfum para hombre 100 ml,"36,70€",-15 %,"18,30",4.2,9
29,Perfumes de hombre,Sin marca,Sin nombre,Sin categoria,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
30,Perfumes de hombre,Lattafa,Ameer Al Oudh Intense Oud,Eau de Parfum unisex 100 ml,"33,70€",-15 %,"20,80",4.3,25
31,Perfumes de hombre,Lattafa,Asad,Eau de Parfum para hombre 100 ml,"60,10€",-15 %,"25,50",4.6,19
32,Perfumes de hombre,Lattafa,Qaed Al Fursan,Eau de Parfum unisex 90 ml,"28,00€",-15 %,"18,20",4.4,18
33,Perfumes de hombre,Afnan,Supremacy Not Only Intense,extracto de perfume para hombre 100 ml,Es el precio con desc,-15 %,"49,90",Sin valoracion,Sin valoraciones
34,Perfumes de hombre,Lattafa,Badee Al Oud Ametyst,Eau de Parfum para mujer 100 ml,"49,50€",-15 %,"32,00",4.2,23
35,Perfumes de hombre,Al Haramain,Détour noir,Eau de Parfum para hombre 100 ml,"59,30€",-15 %,"31,70",4.4,16
36,Perfumes de hombre,Rasasi,Daarej Pour Homme,Eau de Parfum para hombre 100 ml,"34,80€",-15 %,"17,80",4.3,53
37,Perfumes de hombre,Lattafa,Sheikh Al Shuyukh Luxe Edition,Eau de Parfum unisex 100 ml,"27,30€",-15 %,"18,20",4.6,27
38,Perfumes de hombre,Afnan,Turathi Blue Homme,Eau de Parfum para hombre 90 ml,"37,20€",-15 %,"34,90",4.6,44
39,Perfumes de hombre,Lattafa,Opulent Red,Eau de Parfum unisex 100 ml,"32,80€",-15 %,"18,10",4.7,29
40,Perfumes de hombre,Rasasi,Shuhrah Pour Homme,Eau de Parfum para hombre 90 ml,"47,80€",-15 %,"24,70",4.3,129
41,Perfumes de hombre,Al Haramain,Amber Oud Gold Edition,Eau de Parfum unisex 60 ml,"104,22€",-15 %,"54,50",4.9,17
42,Perfumes de hombre,Afnan,9 PM,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"41,10",Sin valoracion,Sin valoraciones
43,Perfumes de hombre,Lattafa,Pride Ishq Al Shuyukh Gold,Eau de Parfum unisex 100 ml,Es el precio con desc,-15 %,"56,00",Sin valoracion,Sin valoraciones
44,Perfumes de hombre,Al Haramain,Amber Oud Tobacco Edition,Eau de Parfum unisex 60 ml,"96,03€",-15 %,"54,30",4.6,28
45,Perfumes de hombre,Al Haramain,L'Aventure,Eau de Parfum para hombre,"21,20€",Sin descuento,"19,90",4.3,18
46,Perfumes de hombre,Just Jack,Tobacco Leaf,Eau de Parfum unisex,"27,49€",-15 %,"11,50",4.7,22
47,Perfumes de hombre,Lalique,Encre Noire A L'Extreme,Eau de Parfum para hombre 100 ml,"123,00€",-15 %,"29,80",4.4,40
48,Perfumes de hombre,Lattafa,Opulent Oud,Eau de Parfum unisex 100 ml,"28,40€",-15 %,"22,90",4.7,10
49,Perfumes de hombre,Rasasi,Fattan Pour Homme,Eau de Parfum para hombre 50 ml,"28,40€",-15 %,"14,50",4.4,29
50,Perfumes de hombre,Lattafa,Malik Al Tayoor Concentrated,Eau de Parfum unisex 100 ml,"26,50€",-15 %,"14,90",4.2,4
51,Perfumes de hombre,Afnan,Supremacy Not Only Intense,extracto de perfume para hombre 100 ml,Es el precio con desc,-15 %,"49,90",Sin valoracion,Sin valoraciones
52,Perfumes de hombre,Lattafa,Pride Eternal Oud,Eau de Parfum unisex 100 ml,Es el precio con desc,-15 %,"56,00",Sin valoracion,Sin valoraciones
53,Perfumes de hombre,Lattafa,Badee Al Oud Oud For Glory,Eau de Parfum unisex 100 ml,"27,70€",Sin descuento,"26,00",4.4,12
54,Perfumes de hombre,Bentley,For Men Intense,Eau de Parfum para hombre 100 ml,"89,00€",-15 %,"29,50",4.5,122
55,Perfumes de hombre,Lattafa,Fakhar Lattafa Men,Eau de Parfum para hombre 100 ml,"36,70€",-15 %,"18,30",4.2,9
56,Perfumes de hombre,Lattafa,Ameer Al Oudh Intense Oud,Eau de Parfum unisex 100 ml,"33,70€",-15 %,"20,80",4.3,25
57,Perfumes de hombre,Versace,Eros Flame,Eau de Parfum para hombre,"53,00€",Sin descuento,"49,80",4.5,6
58,Perfumes de hombre,Lattafa,Asad,Eau de Parfum para hombre 100 ml,"60,10€",-15 %,"25,50",4.6,19
59,Perfumes de hombre,Lattafa,Qaed Al Fursan,Eau de Parfum unisex 90 ml,"28,00€",-15 %,"18,20",4.4,18
60,Perfumes de hombre,Carolina Herrera,212 VIP Black,Eau de Parfum para hombre,Es el precio con desc,Sin descuento,"48,00",Sin valoracion,Sin valoraciones
61,Perfumes de hombre,Lattafa,Badee Al Oud Ametyst,Eau de Parfum para mujer 100 ml,"49,50€",-15 %,"32,00",4.2,23
62,Perfumes de hombre,Al Haramain,Détour noir,Eau de Parfum para hombre 100 ml,"59,30€",-15 %,"31,70",4.4,16
63,Perfumes de hombre,Afnan,Supremacy In Oud,Eau de Parfum unisex 100 ml,"51,20€",-15 %,"46,10",4.5,2
64,Perfumes de hombre,Afnan,Supremacy Silver,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"37,20",Sin valoracion,Sin valoraciones
65,Perfumes de hombre,Lattafa,Sheikh Al Shuyukh Luxe Edition,Eau de Parfum unisex 100 ml,"27,30€",-15 %,"18,20",4.6,27
66,Perfumes de hombre,Rasasi,Daarej Pour Homme,Eau de Parfum para hombre 100 ml,"34,80€",-15 %,"17,80",4.3,53
67,Perfumes de hombre,Lattafa,Opulent Red,Eau de Parfum unisex 100 ml,"32,80€",-15 %,"18,10",4.7,29
68,Perfumes de hombre,Afnan,Turathi Blue Homme,Eau de Parfum para hombre 90 ml,"37,20€",-15 %,"34,90",4.6,44
69,Perfumes de hombre,Al Haramain,Amber Oud Gold Edition,Eau de Parfum unisex 60 ml,"104,22€",-15 %,"54,50",4.9,17
70,Perfumes de hombre,Rasasi,Shuhrah Pour Homme,Eau de Parfum para hombre 90 ml,"47,80€",-15 %,"24,70",4.3,129
71,Perfumes de hombre,Lattafa,Pride Ishq Al Shuyukh Gold,Eau de Parfum unisex 100 ml,Es el precio con desc,-15 %,"56,00",Sin valoracion,Sin valoraciones
72,Perfumes de hombre,Afnan,9 PM,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"41,10",Sin valoracion,Sin valoraciones
73,Perfumes de hombre,Al Haramain,Amber Oud Tobacco Edition,Eau de Parfum unisex 60 ml,"96,03€",-15 %,"54,30",4.6,28
74,Perfumes de hombre,Versace,Pour Homme Oud Noir,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"110,00",Sin valoracion,Sin valoraciones
75,Perfumes de hombre,Afnan,9 AM Dive,Eau de Parfum unisex 100 ml,"37,20€",-15 %,"34,90",4.5,2
76,Perfumes de hombre,Burberry,Weekend for Men,Eau de Toilette para hombre,"93,00€",-15 %,"27,20",4.6,5
77,Perfumes de hombre,Afnan,Dehn Al Oudh Abiyad,Eau de Parfum unisex 100 ml,"12,30€",Sin descuento,"11,60",4.6,10
78,Perfumes de hombre,Beauty,Discovery Box Notino Trip to Italy,set unisex,Es el precio con desc,-15 %,"7,50",Sin valoracion,Sin valoraciones
79,Perfumes de hombre,Lattafa,Ajward,Eau de Parfum unisex 60 ml,"32,90€",Sin descuento,"30,90",4.7,3
80,Perfumes de hombre,Rasasi,Egra for Men,Eau de Parfum para hombre 100 ml,"29,40€",-15 %,"16,60",3.5,8
81,Perfumes de hombre,Hugo Boss,HUGO Energise,Eau de Toilette para hombre 75 ml,"75,00€",-15 %,"42,00",5,2
82,Perfumes de hombre,Lattafa,Pride Eternal Oud,Eau de Parfum unisex 100 ml,Es el precio con desc,-15 %,"56,00",Sin valoracion,Sin valoraciones
83,Perfumes de hombre,Armaf,Voyage Brown,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"22,50",Sin valoracion,Sin valoraciones
84,Perfumes de hombre,Jeanne Arthes,Boum Metal,Eau de Toilette para hombre 100 ml,"9,90€",-15 %,"5,40",4.4,8
85,Perfumes de hombre,Bait Al Bakhoor,Supreme Musk,aceite perfumado unisex 20 ml,Es el precio con desc,-15 %,"13,50",Sin valoracion,Sin valoraciones
86,Perfumes de hombre,Rasasi,La Yuqawam,Eau de Parfum para hombre 75 ml,"89,40€",-15 %,"70,80",4.4,42
87,Perfumes de hombre,Bentley,Bentley for Men Absolute,Eau de Parfum para hombre 100 ml,"102,00€",-15 %,"34,20",5,6
88,Perfumes de hombre,Armaf,Radical Brown,Eau de Parfum para hombre 100 ml,"47,10€",-15 %,"21,20",4.2,6
89,Perfumes de hombre,Jeanne en Provence,Olive Wood & Juniper,Eau de Toilette para hombre 100 ml,"16,50€",-15 %,"13,20",4,9
90,Perfumes de hombre,Lattafa,Quasaed Al Sultan,Eau de Parfum unisex 100 ml,"26,30€",-15 %,"21,00",4.5,2
91,Perfumes de hombre,Hugo Boss,BOSS Bottled,Eau de Toilette para hombre,"63,50€",Sin descuento,"34,40",4.5,33
92,Perfumes de hombre,Rasasi,Mukhallat Oudh Al Mubakhar,Eau de Parfum unisex 100 ml,"21,50€",-15 %,"12,80",4,17
93,Perfumes de hombre,Rasasi,Afshan,Eau de Parfum unisex 100 ml,"23,20€",-15 %,"13,70",4.2,20
94,Perfumes de hombre,Armaf,Club de Nuit Man Intense,perfume para hombre 150 ml,"135,00€",-15 %,"68,50",4,8
95,Perfumes de hombre,Jaguar,For Men,Eau de Toilette para hombre 100 ml,"45,00€",-15 %,"11,10",4.5,16
96,Perfumes de hombre,Playboy,Generation,Eau de Toilette para hombre 100 ml,"12,90€",-15 %,"8,50",5,2
97,Perfumes de hombre,Cuba,Royal,Eau de Toilette para hombre,"4,60€",Sin descuento,"4,30",4,4
98,Perfumes de hombre,Versace,Eros Flame,Eau de Parfum para hombre,"53,00€",Sin descuento,"49,80",4.5,6
99,Perfumes de hombre,Bentley,For Men Intense,Eau de Parfum para hombre 100 ml,"89,00€",-15 %,"29,50",4.5,122
100,Perfumes de hombre,Lattafa,Badee Al Oud Oud For Glory,Eau de Parfum unisex 100 ml,"27,70€",Sin descuento,"26,00",4.4,12
101,Perfumes de hombre,Lattafa,Fakhar Lattafa Men,Eau de Parfum para hombre 100 ml,"36,70€",-15 %,"18,30",4.2,9
102,Perfumes de hombre,Lattafa,Ameer Al Oudh Intense Oud,Eau de Parfum unisex 100 ml,"33,70€",-15 %,"20,80",4.3,25
103,Perfumes de hombre,Lattafa,Asad,Eau de Parfum para hombre 100 ml,"60,10€",-15 %,"25,50",4.6,19
104,Perfumes de hombre,Lattafa,Qaed Al Fursan,Eau de Parfum unisex 90 ml,"28,00€",-15 %,"18,20",4.4,18
105,Perfumes de hombre,Afnan,Supremacy Not Only Intense,extracto de perfume para hombre 100 ml,Es el precio con desc,-15 %,"49,90",Sin valoracion,Sin valoraciones
106,Perfumes de hombre,Lattafa,Badee Al Oud Ametyst,Eau de Parfum para mujer 100 ml,"49,50€",-15 %,"32,00",4.2,23
107,Perfumes de hombre,Al Haramain,Détour noir,Eau de Parfum para hombre 100 ml,"59,30€",-15 %,"31,70",4.4,16
108,Perfumes de hombre,Rasasi,Daarej Pour Homme,Eau de Parfum para hombre 100 ml,"34,80€",-15 %,"17,80",4.3,53
109,Perfumes de hombre,Lattafa,Sheikh Al Shuyukh Luxe Edition,Eau de Parfum unisex 100 ml,"27,30€",-15 %,"18,20",4.6,27
110,Perfumes de hombre,Afnan,Turathi Blue Homme,Eau de Parfum para hombre 90 ml,"37,20€",-15 %,"34,90",4.6,44
111,Perfumes de hombre,Lattafa,Opulent Red,Eau de Parfum unisex 100 ml,"32,80€",-15 %,"18,10",4.7,29
112,Perfumes de hombre,Rasasi,Shuhrah Pour Homme,Eau de Parfum para hombre 90 ml,"47,80€",-15 %,"24,70",4.3,129
113,Perfumes de hombre,Al Haramain,Amber Oud Gold Edition,Eau de Parfum unisex 60 ml,"104,22€",-15 %,"54,50",4.9,17
114,Perfumes de hombre,Afnan,9 PM,Eau de Parfum para hombre 100 ml,Es el precio con desc,-15 %,"41,10",Sin valoracion,Sin valoraciones
115,Perfumes de hombre,Lattafa,Pride Ishq Al Shuyukh Gold,Eau de Parfum unisex 100 ml,Es el precio con desc,-15 %,"56,00",Sin valoracion,Sin valoraciones
116,Perfumes de hombre,Al Haramain,Amber Oud Tobacco Edition,Eau de Parfum unisex 60 ml,"96,03€",-15 %,"54,30",4.6,28
117,Perfumes de hombre,Al Haramain,L'Aventure,Eau de Parfum para hombre,"21,20€",Sin descuento,"19,90",4.3,18
