,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
0,Perfumes de mujer,Victoria's Secret,Tropichroma Plumeria Beach,spray corporal para mujer 250 ml,Es el precio con desc,-15 %,"16,30",Sin valoracion,Sin valoraciones
1,Perfumes de mujer,Avon,Rare Onyx,Eau de Parfum para mujer 50 ml,Es el precio con desc,-15 %,"14,70",Sin valoracion,Sin valoraciones
2,Perfumes de mujer,Narciso Rodriguez,for her,lote de regalo para mujer,Es el precio con desc,-15 %,"55,40",Sin valoracion,Sin valoraciones
3,Perfumes de mujer,Asdaaf,Kasoof White,Eau de Parfum unisex 100 ml,Es el precio con desc,Sin descuento,"21,40",Sin valoracion,Sin valoraciones
4,Perfumes de mujer,Elizabeth Arden,Green Tea,Eau de Parfum para mujer,"31,00€",-15 %,"11,60",3.5,11
5,Perfumes de mujer,Elizabeth Arden,Red Door,Eau de Toilette para mujer,"89,00€",-15 %,"27,90",4.9,12
6,Perfumes de mujer,Jennifer Lopez,Miami Glow by Jlo,Eau de Toilette para mujer 100 ml,"39,93€",-15 %,"27,70",5,3
7,Perfumes de mujer,KENZO,Jungle L'Éléphant,Eau de Parfum para mujer,"90,20€",Sin descuento,"60,50",4.5,43
8,Perfumes de mujer,GUERLAIN,Champs-Élysées,Eau de Parfum para mujer 75 ml,"131,30€",Sin descuento,"106,10",5,2
9,Perfumes de mujer,Armand Basi,In Red,Eau de Toilette para mujer,"37,80€",-15 %,"28,90",4.3,3
10,Perfumes de mujer,Sarah Jessica Parker,Covet,Eau de Parfum para mujer 100 ml,Es el precio con desc,-15 %,"33,90",Sin valoracion,Sin valoraciones
11,Perfumes de mujer,Shiseido,Zen,Eau de Parfum para mujer,"130,00€",-15 %,"48,10",4.4,10
12,Perfumes de mujer,Cacharel,Lou Lou,Eau de Parfum para mujer,"45,00€",-15 %,"32,50",4.4,18
13,Perfumes de mujer,Marc Jacobs,Daisy,Eau de Toilette para mujer,"103,00€",-15 %,"39,10",4.5,4
14,Perfumes de mujer,Grès,Cabotine de Grès,Eau de Parfum para mujer 100 ml,"62,00€",-15 %,"24,60",4,20
15,Perfumes de mujer,Chloé,Chloé,Eau de Parfum para mujer,"130,00€",-15 %,"23,40",4.9,10
16,Perfumes de mujer,Rochas,Eau de Rochas Fraîche,Eau de Toilette para mujer,"79,00€",-15 %,"31,60",4.2,4
17,Perfumes de mujer,Elizabeth Arden,Green Tea Summer,Eau de Toilette para mujer 100 ml,Es el precio con desc,Sin descuento,"10,90",Sin valoracion,Sin valoraciones
18,Perfumes de mujer,Elizabeth Arden,Green Tea Lotus,Eau de Toilette para mujer 100 ml,"31,00€",-15 %,"11,60",5,3
19,Perfumes de mujer,Adidas,Pure Lightness,Eau de Toilette para mujer 50 ml,"10,40€",-15 %,"7,50",5,1
20,Perfumes de mujer,Calvin Klein,Sheer Beauty,Eau de Toilette para mujer,"20,10€",Sin descuento,"18,80",5,1
21,Perfumes de mujer,Rochas,Tocade,Eau de Toilette para mujer 100 ml,"34,70€",Sin descuento,"32,60",4.8,6
