,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
662,Perfumes para Mujer,PRADA,Estuche Infusión D'iris,Eau de parfum para mujer,"156,00€",No aparece,"89,95€",93%,42
663,Perfumes para Mujer,CALVIN KLEIN,Ck Everyone,Eau de Toilette Unisex,"58,00€",,"23,95€",94%,42
664,Perfumes para Mujer,YVES SAINT LAURENT,Black Opium Extreme,Eau de Parfum para mujer,"85,00€",,"44,95€",97%,38
665,Perfumes para Mujer,GUCCI,Estuche Guilty,Eau de Parfum para mujer,"172,50€",No aparece,"84,95€",60%,1
666,Perfumes para Mujer,ELIZABETH ARDEN,Estuche White Tea,Eau de Parfum para Mujer,"60,00€",No aparece,"36,90€",90%,2
667,Perfumes para Mujer,GUESS,Bella Vita Rosa Shimmer Mist,Bruma corporal con destellos plateados,"19,00€",No aparece,"11,95€",93%,9
668,Perfumes para Mujer,ESCADA,Escada Santorini Sunrise,Eau de Toilette para Mujer,"52,95€",,"24,95€",98%,8
669,Perfumes para Mujer,TOM FORD,Black Orchid,Eau de Parfum para mujer,"135,00€",No aparece,"100,95€",98%,11
670,Perfumes para Mujer,NARCISO RODRIGUEZ,Narciso For Her Musc Noir Rose,Eau de parfum para mujer,"73,00€",,"47,50€",99%,17
671,Perfumes para Mujer,TOUS,Estuche Tous Touch,Eau de Toilette para Mujer,"96,00€",No aparece,"49,95€",85%,4
672,Perfumes para Mujer,ELIZABETH ARDEN,White Tea Ep 100Ml,Eau de Parfum para Mujer,"30,00€",,"17,45€",92%,10
673,Perfumes para Mujer,ARMAND BASI,Rose Glacée,Eau de toilette para mujer,"39,90€",No aparece,"19,95€",92%,45
674,Perfumes para Mujer,MUGLER,Angel Thierry Mugler Recargable,Eau de Parfum para Mujer,"165,00€",No aparece,"99,95€",90%,8
675,Perfumes para Mujer,YVES SAINT LAURENT,Paris,Eau de Parfum para mujer,"140,00€",No aparece,"74,95€",98%,18
676,Perfumes para Mujer,MUGLER,Alien Body Cream,Crema corporal perfumada para mujer,"77,00€",No aparece,"44,95€",95%,4
677,Perfumes para Mujer,NARCISO RODRIGUEZ,Estuche Narciso For Her,Eau de toilette para mujer,"129,00€",No aparece,"82,95€",94%,70
678,Perfumes para Mujer,HALLOWEEN,Estuche Halloween,Eau de Toilette para mujer,"76,00€",No aparece,"39,95€",98%,45
679,Perfumes para Mujer,POLICE,To Be Good Vibes,Eau de Parfum para mujer,"48,00€",No aparece,"19,95€",100%,4
680,Perfumes para Mujer,LANCOME,Cofre Tresor La Nuit,Eau de Parfum para Mujer,Sin precio,No aparece,Sin precio,Sin rating,
681,Perfumes para Mujer,CALVIN KLEIN,Estuche Ck Everyone,Eau de Toilette unisex,"110,55€",No aparece,"46,95€",100%,1
682,Perfumes para Mujer,ESTEE LAUDER,White Linen,Eau de parfum para mujer,"97,00€",No aparece,"49,95€",96%,10
683,Perfumes para Mujer,GIVENCHY,L'interdit,Eau de Toilette para Mujer,"67,00€",,"39,95€",94%,7
684,Perfumes para Mujer,DKNY,Body Mist Be Delicious,Spray corporal,"25,00€",No aparece,"14,95€",Sin rating,
685,Perfumes para Mujer,YVES SAINT LAURENT,Estuche Libre,Eau de Parfum para mujer,"156,00€",No aparece,"89,95€",93%,142
686,Perfumes para Mujer,TOUS,Touch,Eau de Toilette para Mujer,"47,00€",,"21,95€",90%,39
687,Perfumes para Mujer,JEAN PAUL GAULTIER,Classique,Eau de Toilette para Mujer,"86,00€",,"51,95€",94%,55
688,Perfumes para Mujer,CAROLINA HERRERA,Estuche Good Girl,Eau de Parfum para Mujer,"138,50€",No aparece,"95,95€",95%,114
689,Perfumes para Mujer,CLINIQUE,Aromatics Elixir,Eau de parfum para mujer,"39,00€",No aparece,"24,95€",96%,106
690,Perfumes para Mujer,MUGLER,Angel,Eau de Parfum para mujer recargable,"38,00€",,"22,95€",99%,437
691,Perfumes para Mujer,HERMÈS,Un Jardin Sur Le Toit,Eau de Toilette Unisex,"133,00€",No aparece,"69,95€",95%,11
692,Perfumes para Mujer,ESCADA,Escada Magnetism,Eau de Parfum para mujer,"102,00€",No aparece,"39,95€",98%,88
693,Perfumes para Mujer,PACO RABANNE,Ultraviolet,Eau de Parfum para Mujer,"116,50€",,"52,95€",98%,57
694,Perfumes para Mujer,YVES SAINT LAURENT,Libre Intense,Eau de Parfum Intense para Mujer,"92,00€",,"47,95€",97%,387
695,Perfumes para Mujer,HERMÈS,Un Jardin Sur Le Nil,Eau de toilette unisex,"133,00€",,"69,95€",98%,28
696,Perfumes para Mujer,ANGEL SCHLESSER,Instant Tempting Bergamota,Eau de Toilette para mujer,"53,00€",,"27,95€",94%,25
697,Perfumes para Mujer,LOEWE,Aire,Eau de Toilette para mujer,"57,00€",,"36,95€",88%,23
698,Perfumes para Mujer,VALENTINO,Born In Roma Coral Fantasy,Eau de parfum para mujer,"80,00€",,"39,95€",95%,4
699,Perfumes para Mujer,CALVIN KLEIN,Obsession,Eau de Parfum para Mujer,"82,20€",No aparece,"34,95€",100%,2
700,Perfumes para Mujer,BVLGARI,Omnia Crystalline,Eau de Toilette para Mujer,"72,95€",,"47,50€",Sin rating,
701,Perfumes para Mujer,GUCCI,Flora Gorgeous Magnolia,Eau de Parfum para Mujer,"79,00€",No aparece,"46,95€",Sin rating,
702,Perfumes para Mujer,DOLCE & GABBANA,Light Blue Eau Intense,Eau de parfum para mujer,"99,00€",,"54,90€",97%,74
703,Perfumes para Mujer,CACHAREL,Lou Lou,Eau de parfum para mujer,"82,00€",No aparece,"34,95€",99%,27
704,Perfumes para Mujer,JEAN PAUL GAULTIER,Classique Intense,Eau de Parfum para Mujer,"68,50€",,"36,95€",97%,33
705,Perfumes para Mujer,ROCHAS,Girl,Eau de Toilette para mujer,"63,00€",,"25,95€",93%,51
706,Perfumes para Mujer,LOEWE,Agua,Eau de Toilette Unisex,"71,00€",,"45,95€",96%,11
707,Perfumes para Mujer,CHLOE,Signature Rose Naturelle,Eau de Parfum para Mujer,"154,00€",No aparece,"64,95€",80%,1
708,Perfumes para Mujer,CALVIN KLEIN,My Euphoria,Eau de Parfum para Mujer,"66,00€",,"36,95€",Sin rating,
709,Perfumes para Mujer,HUGO BOSS,Boss Ma Vie,Eau de Parfum para Mujer,"111,00€",,"49,95€",93%,47
710,Perfumes para Mujer,RALPH LAUREN,Romance,Eau de Parfum para mujer,"145,00€",No aparece,"69,95€",93%,3
711,Perfumes para Mujer,HUGO BOSS,Boss The Scent For Her,Eau de parfum para mujer,"136,00€",,"54,95€",97%,43
712,Perfumes para Mujer,CACHAREL,Eden,Eau de parfum para mujer,"85,00€",No aparece,"39,95€",93%,44
713,Perfumes para Mujer,JEAN PAUL GAULTIER,So Scandal,Eau de Parfum para mujer,"95,00€",,"54,95€",97%,33
714,Perfumes para Mujer,BVLGARI,Splendida Jasmin Noir,Eau de parfum para mujer,"96,00€",,"61,95€",95%,15
715,Perfumes para Mujer,GUERLAIN,Samsara,Eau de Parfum para mujer,"146,50€",No aparece,"88,95€",60%,1
716,Perfumes para Mujer,VERSACE,Versense,Eau de Toilette para Mujer,"92,00€",,"54,95€",97%,91
717,Perfumes para Mujer,GIVENCHY,Estuche Irresistible,Eau de Parfum para mujer,"142,25€",No aparece,"72,95€",96%,19
718,Perfumes para Mujer,CALVIN KLEIN,Sheer Beauty,Eau de Toilette para mujer,"93,50€",,"39,95€",92%,35
719,Perfumes para Mujer,YVES SAINT LAURENT,Black Opium Le Parfum,Parfum para Mujer,"85,00€",,"49,95€",Sin rating,
720,Perfumes para Mujer,LOEWE,Agua Miami,Eau de Toilette para mujer,"102,00€",,"65,95€",100%,8
721,Perfumes para Mujer,YVES SAINT LAURENT,Libre Le Parfum,Parfum Para Mujer,"95,00€",,"49,95€",87%,6
722,Perfumes para Mujer,KENZO,Recarga Flower By Kenzo,Eau de Parfum para Mujer,"157,00€",No aparece,"99,95€",100%,1
723,Perfumes para Mujer,LANCOME,Estuche Tresor,Eau de parfum para mujer,"170,00€",No aparece,"89,95€",98%,12
724,Perfumes para Mujer,HOSS INTROPIA,Manuela,Eau de Parfum para mujer,"93,00€",No aparece,"49,95€",89%,22
725,Perfumes para Mujer,LANVIN,Éclat D'arpège,Eau de Parfum para mujer,"107,00€",No aparece,"35,95€",88%,15
726,Perfumes para Mujer,Nº 4711,Cologne Lima,Eau de Cologne para Mujer,"36,00€",No aparece,"15,95€",100%,1
727,Perfumes para Mujer,PACO RABANNE,Estuche Olympéa,Eau de Parfum para mujer,"130,00€",No aparece,"74,95€",91%,24
728,Perfumes para Mujer,DOLCE & GABBANA,Cofre Queen,Eau de Parfum para Mujer,"145,00€",No aparece,"94,95€",Sin rating,
729,Perfumes para Mujer,VERSACE,Versace Red Jeans,Eau de toilette para mujer,"44,22€",No aparece,"16,95€",89%,71
730,Perfumes para Mujer,CALVIN KLEIN,Beauty Calvin Klein E.P. 100 Vapo.,Eau de Parfum para Mujer,"126,00€",No aparece,"39,95€",89%,9
731,Perfumes para Mujer,DOLCE & GABBANA,Cofre Light Blue,Eau de Toilette para Mujer,"88,00€",No aparece,"49,95€",47%,3
732,Perfumes para Mujer,EAU MY BB,Eau My Bb,Eau de cologne infantil,"9,50€",No aparece,"6,95€",89%,29
733,Perfumes para Mujer,SISLEY,Campagne,Eau de toilette para mujer,"95,00€",,"66,95€",93%,14
734,Perfumes para Mujer,TOUS,Estuche Loveme,Eau de Parfum para mujer,"115,00€",No aparece,"59,95€",93%,96
