,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
0,Perfumes de mujer,Clive Christian,X,Eau de Parfum para mujer,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
1,Perfumes de mujer,Rihanna,Nude,Eau de Parfum para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
2,Perfumes de mujer,Rihanna,Rogue,Eau de Parfum para mujer 125 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
3,Perfumes de mujer,Jessica Simpson,Vintage Bloom,Eau de Parfum para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
4,Perfumes de mujer,Vera Wang,Flower Princess,Eau de Toilette para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
5,Perfumes de mujer,Ellen Tracy,Ellen Tracy,Eau de Parfum para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
6,Perfumes de mujer,Al Haramain,Atifa Blanche,Eau de Parfum para mujer 24 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
7,Perfumes de mujer,Al Haramain,Black Stone,Eau de Parfum para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
8,Perfumes de mujer,Al Haramain,Haramain Safwa,Eau de Parfum para mujer 24 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
9,Perfumes de mujer,Robert Piguet,Futur,Eau de Parfum para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
10,Perfumes de mujer,Revlon,Jontue,"agua de colonia para mujer 68,01 ml",Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
11,Perfumes de mujer,Ted Lapidus,White Soul,Eau de Parfum para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
12,Perfumes de mujer,Amouage,Opus V,Eau de Toilette unisex 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
13,Perfumes de mujer,Houbigant,Orangers En Fleurs,Eau de Parfum para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
14,Perfumes de mujer,Liz Claiborne,Curve,Eau de Toilette para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
15,Perfumes de mujer,Creed,Acqua Originale Aberdeen Lavander,Eau de Parfum unisex 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
16,Perfumes de mujer,Histoires De Parfums,1804,Eau de Parfum para mujer,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
17,Perfumes de mujer,Etat Libre d’Orange,Dangerous Complicity,Eau de Parfum unisex,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
18,Perfumes de mujer,Histoires De Parfums,1969,Eau de Parfum para mujer,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
19,Perfumes de mujer,Jessica Simpson,Fancy Love,Eau de Parfum para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
20,Perfumes de mujer,Histoires De Parfums,1876,Eau de Parfum para mujer 60 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
21,Perfumes de mujer,Kelsey Berwin,Dione,Eau de Parfum para mujer 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
22,Perfumes de mujer,Perris Monte Carlo,Bois d'Oud,Eau de Parfum unisex 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
23,Perfumes de mujer,Perris Monte Carlo,Ambre Gris,Eau de Parfum unisex 100 ml,Es el precio con desc,Sin descuento,Sin precio,Sin valoracion,Sin valoraciones
