tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
perfumes24h,hombre,carolina herrera,bad boy,eau de toilette,70.0,24.36,52.95,5.0,2
perfumes24h,hombre,armaf,club de nuit urban man,eau de parfum,45.0,40.11,26.95,5.0,2
perfumes24h,hombre,carolina herrera,212 men heroes,eau de toilette,69.0,23.26,52.95,5.0,2
perfumes24h,hombre,dolce & gabbana,k by dolce & gabbana,eau de toilette,60.0,16.83,49.9,5.0,2
perfumes24h,hombre,victorinox,swiss army,eau de toilette,37.0,24.46,27.95,5.0,2
perfumes24h,hombre,tous,tous man,eau de toilette,47.0,46.91,24.95,5.0,4
perfumes24h,hombre,ralph lauren,polo,eau de toilette,75.0,40.07,44.95,5.0,4
perfumes24h,hombre,diesel,bad,eau de toilette,50.0,54.1,22.95,5.0,2
perfumes24h,hombre,carolina herrera,bad boy extreme,eau de parfum,113.63,51.64,54.95,5.0,3
perfumes24h,hombre,calvin klein,defy,eau de toilette,72.0,71.18,20.75,5.0,3
perfumes24h,hombre,boucheron,boucheron pour homme,eau de toilette,50.0,52.1,23.95,4.0,1
perfumes24h,hombre,calvin klein,set ck everyone 200ml + shower gel 100ml + 10ml,eau de toilette,90.0,52.28,42.95,5.0,1
perfumes24h,hombre,armani,emporio armani for him,eau de toilette,48.0,25.1,35.95,4.0,1
perfumes24h,hombre,paloma picasso,minotaure,eau de toilette,67.0,55.3,29.95,4.5,4
perfumes24h,hombre,givenchy,insense ultramarine,eau de toilette,65.0,43.15,36.95,5.0,1
perfumes24h,hombre,4711,acqua colonia blood orange & basil,eau de cologne,22.0,27.36,15.98,5.0,1
perfumes24h,hombre,karl lagerfeld,karl lagerfeld for him,eau de toilette,75.0,66.73,24.95,5.0,1
perfumes24h,hombre,el ganso,like father like son,eau de toilette,39.0,36.03,24.95,5.0,1
perfumes24h,hombre,adolfo domínguez,verbena hombre ed.limitada,eau de toilette,54.5,39.54,32.95,5.0,2
perfumes24h,hombre,montblanc,legend,eau de parfum,63.0,36.59,39.95,5.0,2
perfumes24h,hombre,montblanc,explorer,eau de parfum,81.42,47.25,42.95,4.7,3
perfumes24h,hombre,tommy hilfiger,tommy now,eau de toilette,50.0,60.1,19.95,5.0,3
perfumes24h,hombre,hugo boss,hugo jeans,eau de toilette,77.0,51.31,37.49,5.0,3
perfumes24h,hombre,halloween,halloween man shot,eau de toilette,67.0,40.37,39.95,5.0,3
perfumes24h,hombre,montblanc,présence,eau de toilette,63.0,60.4,24.95,4.0,2
perfumes24h,hombre,adolfo domínguez,set agua fresca 120ml + 20ml,eau de toilette,59.0,32.29,39.95,4.0,2
perfumes24h,hombre,lalique,lalique white,eau de toilette,86.0,65.17,29.95,4.0,2
perfumes24h,hombre,carolina herrera,bad boy cobalt,eau de parfum,75.5,29.87,52.95,4.0,2
