tienda,categoria,marca,nombre,tipo,descuento,precio_sin_desc,precio_con_desc,valoracion,num_valoraciones
druni,hombre,issey miyake,nuit d'issey,eau de toilette,35.0,107.0,69.5,4.2,10.0
druni,hombre,coach,coach for man,eau de toilette,57.0,92.0,39.95,4.45,7.0
druni,hombre,police,bad guy,eau de toilette,58.0,48.0,19.95,4.15,7.0
druni,hombre,loewe,pour homme,eau de toilette,35.0,88.0,56.95,4.6,5.0
druni,hombre,pepe jeans,london calling him,eau de parfum,53.0,70.0,32.95,5.0,7.0
druni,hombre,kenzo,homme,eau de toilette,52.0,74.5,35.95,3.65,6.0
druni,hombre,carolina herrera,bad boy cobalt,eau de parfum,37.0,84.0,52.95,5.0,3.0
druni,hombre,issey miyake,l'eau issey homme eau cedre,eau de toilette,35.0,80.0,51.95,4.65,3.0
druni,hombre,mandarina duck,mandarina duck azul,eau de toilette,36.0,25.0,15.95,4.65,3.0
druni,hombre,pedro del hierro,intense,eau de toilette,57.0,58.0,24.95,,
druni,hombre,issey miyake,l'eau d'issey homme vetiver,eau de toilette,35.0,80.0,51.95,4.5,2.0
druni,hombre,pepe jeans,estuche pepe jeans him,eau de toilette,56.0,80.0,34.95,5.0,3.0
druni,hombre,yves saint laurent,l'homme le parfum,eau de parfum,50.0,100.0,49.95,4.35,11.0
druni,hombre,beverly hills polo club,heritage oud,eau de toilette,40.0,50.0,29.95,4.3,25.0
druni,hombre,loewe,7 anónimo,eau de parfum,35.0,95.0,61.5,4.15,7.0
druni,hombre,loewe,001 man,eau de toilette,35.0,80.0,51.95,4.35,4.0
druni,hombre,tommy hilfiger,impact intense,eau de parfum,39.0,90.0,54.95,4.85,7.0
druni,hombre,calvin klein,defy,eau de toilette,53.0,75.0,34.95,4.3,7.0
druni,hombre,angel schlesser,angel schlesser mediterranean cypress,eau de toilette,53.0,53.0,24.95,5.0,5.0
druni,hombre,carolina herrera,cofre bad boy cobalt,eau de parfum,34.0,123.0,80.95,,
druni,hombre,ralph lauren,polo red,parfum,42.0,82.0,47.95,,
druni,hombre,police,#free to dare,eau de toilette,52.0,48.0,22.95,,
druni,hombre,hugo boss,estuche hugo man,eau de toilette,49.0,108.0,54.95,4.65,43.0
druni,hombre,tommy hilfiger,tommy hilfiger impact,eau de toilette,46.0,83.0,44.95,4.65,38.0
druni,hombre,jimmy choo,estuche jimmy choo man,eau de toilette,51.0,101.0,49.95,4.85,6.0
druni,hombre,police,to be,eau de toilette,58.0,48.0,19.95,4.85,6.0
druni,hombre,loewe,001 man,eau de parfum,35.0,89.0,57.5,4.85,7.0
druni,hombre,carolina herrera,212 men heroes,eau de toilette,32.0,78.0,52.95,5.0,15.0
druni,hombre,f1 fragrances,overtake 320,eau de toilette,58.0,71.0,29.95,4.75,30.0
druni,hombre,armand basi,armand basi woody musk,eau de toilette,62.0,65.0,24.95,3.0,1.0
druni,hombre,hackett,essential,eau de parfum,49.0,72.0,36.95,4.6,5.0
druni,hombre,pedro del hierro,homme,eau de toilette,40.0,58.0,34.95,,
druni,hombre,coach,coach green,eau de toilette,51.0,72.0,34.95,5.0,1.0
druni,hombre,jean paul gaultier,le male pride,eau de toilette,43.0,114.5,64.95,,
druni,hombre,hollister,wave for him,eau de toilette,56.0,72.0,31.95,4.5,2.0
druni,hombre,versace,dylan blue,eau de toilette,43.0,83.0,46.95,4.8,42.0
