tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
douglas,hombre,armani,code,eau de toilette,81.99,39.03,49.99,4.5,3.0
douglas,hombre,dkny,be delicious,eau de parfum,51.29,16.18,42.99,,
douglas,hombre,dior,fahrenheit,eau de toilette,90.99,0.0,90.99,5.0,1.0
douglas,hombre,yves saint laurent,y,parfum,110.0,42.74,62.99,5.0,1214.0
douglas,hombre,yves saint laurent,la nuit de l’homme,eau de parfum,101.0,35.65,64.99,5.0,24.0
douglas,hombre,carolina herrera,carolina herrera men,eau de toilette,95.99,33.34,63.99,,
douglas,hombre,yves saint laurent,l’homme,eau de toilette,90.99,40.66,53.99,5.0,10.0
douglas,hombre,paco rabanne,pure xs,eau de toilette,77.99,44.88,42.99,5.0,1.0
douglas,hombre,calvin klein,ck be,eau de toilette,45.49,16.49,37.99,,
douglas,hombre,bvlgari,eau parfumée,eau de cologne,99.99,28.0,71.99,,
douglas,hombre,chloé,signature,eau de parfum,60.99,0.0,60.99,,
douglas,hombre,scalpers,sin nombre,eau de parfum,59.99,35.01,38.99,,
douglas,hombre,versace,eros,parfum,125.0,29.61,87.99,,
douglas,hombre,carolina herrera,sin nombre,eau de parfum,79.99,37.5,49.99,,
douglas,hombre,carolina herrera,bad boy,eau de toilette,79.99,33.75,52.99,5.0,34.0
douglas,hombre,calvin klein,ckin2u for her,eau de toilette,82.99,73.5,21.99,5.0,1.0
douglas,hombre,armani,emporio armani,parfum,89.99,17.78,73.99,5.0,1.0
douglas,hombre,davidoff,cool water,eau de toilette,42.29,42.09,24.49,,
douglas,hombre,chanel,allure homme sport,eau de cologne,89.99,0.0,89.99,,
douglas,hombre,yves saint laurent,y,eau de parfum,106.0,47.18,55.99,5.0,145.0
douglas,hombre,lacoste,l12.12 blanc,eau de toilette,111.99,41.08,65.99,5.0,22.0
douglas,hombre,tom ford,signature fragancias de mujer,eau de parfum,107.99,0.0,107.99,,
douglas,hombre,loewe,solo loewe,eau de toilette,96.99,31.96,65.99,,
douglas,hombre,dior,dior homme,eau de parfum,101.99,0.0,101.99,,
douglas,hombre,montblanc,legend,eau de toilette,75.99,46.06,40.99,,
douglas,hombre,paco rabanne,invictus,eau de parfum,89.99,33.34,59.99,5.0,2.0
douglas,hombre,paco rabanne,invictus,eau de parfum,87.99,32.96,58.99,,
douglas,hombre,agua brava,sin nombre,eau de cologne,35.99,27.79,25.99,5.0,1.0
douglas,hombre,armani,acqua di giò,eau de parfum,115.0,41.75,66.99,5.0,71.0
douglas,hombre,el ganso,sin nombre,eau de parfum,52.99,43.4,29.99,,
douglas,hombre,paco rabanne,1 million,parfum,92.99,37.64,57.99,5.0,6.0
douglas,hombre,versace,dylan purple,eau de parfum,59.99,18.34,48.99,5.0,2.0
douglas,hombre,versace,man eau fraîche,eau de toilette,67.99,26.47,49.99,,
douglas,hombre,jean paul gaultier,scandal,eau de parfum,116.0,35.35,74.99,,
douglas,hombre,dior,dior homme,eau de toilette,62.99,0.0,62.99,1.0,1.0
douglas,hombre,paco rabanne,1 million,parfum,99.99,31.0,68.99,5.0,1.0
douglas,hombre,rochas,eau de rochas homme,eau de toilette,45.95,49.97,22.99,,
douglas,hombre,loewe,loewe 7,eau de toilette,84.99,35.3,54.99,5.0,2.0
douglas,hombre,hugo boss,boss the scent magnetic,eau de parfum,91.99,51.09,44.99,5.0,65.0
douglas,hombre,dolce&gabbana,pour homme,eau de toilette,69.99,38.58,42.99,,
douglas,hombre,bvlgari,petits et mamans,eau de toilette,77.99,29.49,54.99,,
douglas,hombre,dior,sauvage,eau de toilette,68.99,0.0,68.99,4.0,1.0
douglas,hombre,tom ford,private blend fragancias,eau de parfum,264.99,0.0,264.99,3.0,1.0
douglas,hombre,gucci,gucci guilty,parfum,109.99,39.09,66.99,,
douglas,hombre,cuba,sin nombre,eau de toilette,11.99,25.02,8.99,,
douglas,hombre,bvlgari,bvlgari man,eau de parfum,101.0,27.73,72.99,,
douglas,hombre,yves saint laurent,l’homme,parfum,101.0,38.62,61.99,5.0,1.0
douglas,hombre,loewe,sin nombre,eau de parfum,94.99,26.32,69.99,,
douglas,hombre,carolina herrera,sin nombre,eau de toilette,107.0,36.46,67.99,,
douglas,hombre,calvin klein,eternity,parfum,89.99,51.12,43.99,5.0,278.0
douglas,hombre,dolce&gabbana,the one,eau de parfum,104.99,0.0,104.99,5.0,1.0
douglas,hombre,givenchy,gentleman givenchy,eau de toilette,84.99,37.65,52.99,,
douglas,hombre,carolina herrera,bad boy,eau de parfum,87.99,35.23,56.99,5.0,4.0
douglas,hombre,guerlain,aqua allegoria,eau de parfum,121.0,38.85,73.99,,
douglas,hombre,diesel,only the brave,eau de toilette,52.99,32.08,35.99,4.5,51.0
douglas,hombre,versace,jeans collection,eau de toilette,45.95,58.67,18.99,,
douglas,hombre,bvlgari,bvlgari man,eau de parfum,101.99,30.4,70.99,,
douglas,hombre,carolina herrera,sin nombre,eau de toilette,79.99,33.75,52.99,5.0,1.0
douglas,hombre,gucci,gucci guilty,eau de toilette,89.99,52.23,42.99,5.0,41.0
douglas,hombre,prada,luna rossa,eau de toilette,85.99,27.91,61.99,5.0,9.0
douglas,hombre,dior,eau sauvage,eau de toilette,112.99,0.0,112.99,,
douglas,hombre,scalpers,sin nombre,eau de parfum,59.99,33.34,39.99,,
douglas,hombre,paco rabanne,olympéa,eau de parfum,95.99,50.01,47.99,,
douglas,hombre,issey miyake,l'eau d'issey pour homme,eau de toilette,29.99,26.68,21.99,5.0,1.0
douglas,hombre,antonio banderas,sin nombre,eau de toilette,30.99,32.27,20.99,,
douglas,hombre,loewe,loewe pour homme,eau de toilette,84.99,20.0,67.99,,
douglas,hombre,4711,4711,eau de cologne,22.49,0.0,22.49,,
douglas,hombre,prada,l'homme,eau de parfum,130.0,20.78,102.99,5.0,1.0
douglas,hombre,zadig&voltaire,this is him!,eau de toilette,69.99,28.58,49.99,,
douglas,hombre,hugo boss,hugo,eau de toilette,81.99,54.88,36.99,5.0,1.0
douglas,hombre,loewe,sin nombre,eau de parfum,92.99,31.19,63.99,,
douglas,hombre,tom ford,signature fragancias de hombre,parfum,123.99,0.0,123.99,,
douglas,hombre,philipp plein,no limit$,eau de parfum,71.99,12.5,62.99,,
douglas,hombre,hermès,terre d’hermès,eau de toilette,87.99,26.14,64.99,,
douglas,hombre,ralph lauren,polo blue,eau de toilette,82.99,40.97,48.99,4.5,68.0
douglas,hombre,adolfo dominguez,sin nombre,eau de parfum,59.99,35.01,38.99,,
douglas,hombre,rochas,sin nombre,eau de toilette,52.99,49.07,26.99,,
douglas,hombre,pacha,sin nombre,eau de cologne,11.49,21.76,8.99,,
douglas,hombre,chanel,platinum égoïste,eau de toilette,95.99,0.0,95.99,,
douglas,hombre,tous,sin nombre,eau de toilette,52.99,22.65,40.99,,
douglas,hombre,chanel,allure homme sport,eau de parfum,104.0,0.0,104.0,,
douglas,hombre,antonio banderas,sin nombre,eau de toilette,23.99,20.84,18.99,,
douglas,hombre,calvin klein,ck everyone,eau de parfum,46.59,31.34,31.99,4.5,59.0
douglas,hombre,gucci,gucci guilty,eau de parfum,101.0,45.55,54.99,,
douglas,hombre,prada,luna rossa,eau de parfum,95.99,44.8,52.99,5.0,116.0
douglas,hombre,rochas,rochas man,eau de parfum,98.99,52.53,46.99,,
douglas,hombre,hermès,terre d’hermès,parfum,149.0,32.22,100.99,,
douglas,hombre,diesel,bad,eau de toilette,69.99,34.29,45.99,,
douglas,hombre,paco rabanne,paco rabanne homme,eau de toilette,97.99,51.03,47.99,,
douglas,hombre,halloween,sin nombre,eau de toilette,51.99,40.39,30.99,,
douglas,hombre,el ganso,sin nombre,eau de toilette,52.99,43.4,29.99,,
douglas,hombre,jean paul gaultier,le male,parfum,129.0,31.79,87.99,4.5,2.0
douglas,hombre,issey miyake,fusion d‘issey,eau de toilette,74.99,26.67,54.99,,
douglas,hombre,montblanc,legend spirit,eau de toilette,50.99,45.11,27.99,5.0,2.0
douglas,hombre,givenchy,gentleman givenchy,eau de parfum,187.99,27.13,136.99,5.0,2.0
douglas,hombre,hugo boss,hugo,eau de toilette,80.99,58.03,33.99,,
douglas,hombre,dior,sauvage,eau de parfum,280.0,0.0,280.0,,
douglas,hombre,diesel,only the brave,eau de toilette,92.99,0.0,92.99,,
douglas,hombre,halloween,sin nombre,eau de toilette,31.69,3.16,30.69,,
douglas,hombre,acqua di parma,blu mediterraneo,eau de toilette,59.99,0.0,59.99,,
douglas,hombre,dsquared2,wood homme,eau de parfum,79.99,0.0,79.99,,
douglas,hombre,ralph lauren,polo,eau de toilette,57.09,15.94,47.99,,
douglas,hombre,prada,les infusions,eau de parfum,150.0,42.67,85.99,,
douglas,hombre,halloween,sin nombre,eau de toilette,31.69,8.52,28.99,4.0,1.0
douglas,hombre,nike,sin nombre,eau de toilette,18.99,42.13,10.99,,
douglas,hombre,bvlgari,bvlgari man,eau de parfum,101.0,26.74,73.99,,
douglas,hombre,ralph lauren,polo blue,parfum,95.99,38.55,58.99,,
douglas,hombre,tous,sin nombre,eau de toilette,52.99,45.29,28.99,,
douglas,hombre,versace,dylan blue pour femme,eau de toilette,104.99,25.72,77.99,5.0,1.0
douglas,hombre,yves saint laurent,la nuit de l’homme,parfum,125.0,36.01,79.99,,
douglas,hombre,nike,sin nombre,eau de toilette,19.99,47.52,10.49,3.0,1.0
douglas,hombre,kenzo,kenzo homme,eau de parfum,79.99,38.75,48.99,5.0,29.0
douglas,hombre,antonio banderas,sin nombre,eau de toilette,10.99,0.0,10.99,,
douglas,hombre,issey miyake,l'eau d'issey pour homme,eau de parfum,104.99,38.1,64.99,,
douglas,hombre,tom ford,private blend fragancias,eau de parfum,249.99,0.0,249.99,,
douglas,hombre,issey miyake,l’eau d’issey,eau de toilette,80.99,28.4,57.99,,
douglas,hombre,dior,dior homme,eau de cologne,70.99,0.0,70.99,,
douglas,hombre,nike,sin nombre,eau de parfum,18.99,42.13,10.99,5.0,1.0
douglas,hombre,acqua di parma,blu mediterraneo,eau de toilette,62.99,0.0,62.99,,
douglas,hombre,carolina herrera,bad boy,eau de parfum,84.99,28.24,60.99,,
douglas,hombre,ralph lauren,polo red,parfum,85.99,36.05,54.99,,
douglas,hombre,tom ford,signature fragancias de hombre,parfum,134.99,0.0,134.99,,
douglas,hombre,azzaro,chrome,eau de toilette,46.59,16.31,38.99,,
douglas,hombre,loewe,solo credo,eau de toilette,96.99,27.84,69.99,5.0,1.0
douglas,hombre,calvin klein,defy,eau de parfum,82.99,56.63,35.99,,
douglas,hombre,acqua di parma,blu mediterraneo,eau de toilette,71.99,0.0,71.99,,
douglas,hombre,dsquared2,green wood,eau de toilette,79.99,45.01,43.99,,
douglas,hombre,moncler,sin nombre,eau de parfum,80.0,0.0,80.0,,
douglas,hombre,dolce&gabbana,intenso,eau de parfum,67.99,26.47,49.99,,
douglas,hombre,chanel,bleu de chanel,eau de toilette,84.99,0.0,84.99,,
douglas,hombre,tom ford,signature fragancias de hombre,eau de parfum,129.99,0.0,129.99,,
douglas,hombre,loewe,7 anonimo,eau de parfum,94.99,20.0,75.99,,
douglas,hombre,hugo boss,sin nombre,eau de toilette,99.99,53.01,46.99,,
douglas,hombre,1916,sin nombre,eau de cologne,26.99,0.0,26.99,,
douglas,hombre,acqua di parma,blu mediterraneo,eau de toilette,54.99,0.0,54.99,,
douglas,hombre,loewe,sin nombre,eau de toilette,109.99,27.28,79.99,,
douglas,hombre,diesel,d by diesel,eau de toilette,91.99,43.48,51.99,,
douglas,hombre,halloween,sin nombre,eau de toilette,74.99,30.67,51.99,,
douglas,hombre,adidas originals,sin nombre,parfum,8.99,0.0,8.99,,
douglas,hombre,dior,sauvage,parfum,286.99,0.0,286.99,5.0,3.0
douglas,hombre,bottega veneta,pour homme,eau de toilette,87.99,0.0,87.99,,
douglas,hombre,loewe,sin nombre,eau de toilette,97.99,26.53,71.99,,
douglas,hombre,issey miyake,l’eau d’issey,eau de toilette,99.99,0.0,99.99,,
douglas,hombre,ralph lauren,polo red,eau de toilette,77.99,32.06,52.99,4.0,1.0
douglas,hombre,comme des garçons,2 man,eau de toilette,75.0,0.0,75.0,,
douglas,hombre,tiffany & co.,sin nombre,eau de toilette,97.99,40.82,57.99,,
douglas,hombre,guerlain,vetiver,eau de toilette,165.99,13.25,143.99,,
douglas,hombre,acqua di parma,signatures of the sun,eau de parfum,97.99,0.0,97.99,,
douglas,hombre,diesel,fuel for life,parfum,94.0,57.46,39.99,,
douglas,hombre,bvlgari,blv pour homme,eau de toilette,111.0,35.14,71.99,,
douglas,hombre,chanel,allure homme,eau de toilette,87.99,0.0,87.99,,
douglas,hombre,joop!,joop! homme,eau de toilette,61.39,41.37,35.99,,
douglas,hombre,laura biagiotti,roma uomo,eau de toilette,54.99,49.1,27.99,,
douglas,hombre,narciso rodriguez,for him,eau de toilette,59.99,0.0,59.99,,
douglas,hombre,tous,sin nombre,eau de parfum,79.99,42.51,45.99,,
douglas,hombre,ralph lauren,ralph's club,parfum,101.0,52.49,47.99,,
douglas,hombre,montblanc,legend red,eau de parfum,76.99,44.16,42.99,4.0,1.0
douglas,hombre,clinique,aromatics elixir,eau de toilette,38.99,0.0,38.99,,
douglas,hombre,dior,dune,eau de toilette,123.0,0.0,123.0,,
douglas,hombre,angel schlesser,sin nombre,eau de parfum,54.99,38.19,33.99,,
douglas,hombre,chanel,bleu de chanel,eau de parfum,99.99,0.0,99.99,,
douglas,hombre,chanel,allure homme sport,eau de toilette,84.99,0.0,84.99,,
douglas,hombre,kenzo,kenzo homme,eau de toilette,54.99,38.19,33.99,5.0,7.0
douglas,hombre,sisley,l'eau revee,eau de toilette,96.99,0.0,96.99,,
douglas,hombre,azzaro,azzaro pour homme,eau de toilette,85.99,47.68,44.99,,
douglas,hombre,valentino,uomo,eau de toilette,87.99,12.5,76.99,,
douglas,hombre,philipp plein,no limit$,eau de toilette,66.99,0.0,66.99,,
douglas,hombre,victorio & lucchino,sin nombre,eau de parfum,20.99,35.73,13.49,,
douglas,hombre,diesel,d by diesel,eau de toilette,45.99,30.44,31.99,4.5,167.0
douglas,hombre,zadig&voltaire,this is him!,eau de toilette,71.99,30.56,49.99,,
douglas,hombre,tous,sin nombre,eau de toilette,76.99,32.47,51.99,,
douglas,hombre,jil sander,sun,eau de toilette,43.39,26.27,31.99,,
douglas,hombre,milano,sin nombre,eau de toilette,17.99,0.0,17.99,,
douglas,hombre,scalpers,sin nombre,eau de toilette,52.99,20.76,41.99,,
douglas,hombre,nike,sin nombre,eau de parfum,2.99,0.0,2.99,,
douglas,hombre,dior,eau sauvage,eau de parfum,83.99,0.0,83.99,,
douglas,hombre,chanel,allure homme edition blanche,eau de parfum,99.99,0.0,99.99,,
douglas,hombre,titto bluni,sin nombre,eau de toilette,17.99,0.0,17.99,,
douglas,hombre,abercrombie & fitch,sin nombre,eau de toilette,45.99,13.05,39.99,,
douglas,hombre,chloé,signature,eau de parfum,173.0,39.31,104.99,5.0,89.0
douglas,hombre,titto bluni,sin nombre,eau de toilette,17.99,16.68,14.99,,
douglas,hombre,nike,sin nombre,eau de parfum,18.99,34.23,12.49,,
douglas,hombre,abercrombie & fitch,authentic moment,eau de toilette,46.99,0.0,46.99,,
douglas,hombre,acqua di parma,colonia,eau de cologne,78.99,0.0,78.99,,
douglas,hombre,adidas originals,ice dive,eau de toilette,7.99,0.0,7.99,,
douglas,hombre,dior,eau sauvage,eau de cologne,56.99,0.0,56.99,,
douglas,hombre,halloween,sin nombre,eau de toilette,31.69,8.52,28.99,,
douglas,hombre,dior,dior homme,eau de toilette,77.99,0.0,77.99,,
douglas,hombre,lalique,encre noire,eau de parfum,112.0,0.0,112.0,,
douglas,hombre,tous,sin nombre,eau de toilette,51.99,42.32,29.99,,
douglas,hombre,dior,higher,eau de toilette,99.99,0.0,99.99,5.0,1.0
douglas,hombre,tous,sin nombre,eau de toilette,52.99,26.42,38.99,,
douglas,hombre,bvlgari,bvlgari man,eau de parfum,101.0,35.65,64.99,,
douglas,hombre,angel schlesser,sin nombre,eau de toilette,54.99,40.01,32.99,,
douglas,hombre,comme des garçons,2 man,eau de parfum,84.99,0.0,84.99,,
douglas,hombre,otto kern,sin nombre,eau de toilette,21.09,5.22,19.99,,
douglas,hombre,mexx,sin nombre,eau de toilette,26.49,13.21,22.99,,
douglas,hombre,armani,my way,parfum,118.49,30.89,81.89,4.5,34.0
douglas,hombre,montblanc,explorer,eau de parfum,60.99,57.39,25.99,,
douglas,hombre,angel schlesser,sin nombre,eau de toilette,54.99,38.19,33.99,,
douglas,hombre,el ganso,sin nombre,eau de parfum,52.99,33.97,34.99,,
douglas,hombre,armani,eaux pour homme,eau de toilette,150.0,30.67,103.99,,
douglas,hombre,pacha,sin nombre,eau de parfum,11.99,0.0,11.99,,
douglas,hombre,hermès,collection parfum jardin,eau de toilette,70.99,0.0,70.99,,
douglas,hombre,diesel,only the brave,eau de toilette,51.89,19.08,41.99,,
douglas,hombre,bustamante,sin nombre,eau de toilette,10.99,9.1,9.99,,
douglas,hombre,montblanc,legend,eau de parfum,76.99,33.77,50.99,,
douglas,hombre,claus porto,sin nombre,eau de toilette,99.99,0.0,99.99,,
douglas,hombre,s.oliver,here and now,eau de toilette,22.29,10.32,19.99,,
douglas,hombre,givenchy,sin nombre,parfum,82.99,0.0,82.99,,
douglas,hombre,givenchy,l’interdit,parfum,105.99,0.0,105.99,,
douglas,hombre,adolfo dominguez,sin nombre,eau de toilette,64.99,0.0,64.99,,
douglas,hombre,bustamante,sin nombre,eau de toilette,11.49,21.76,8.99,,
