tienda,categoria,marca,nombre,tipo,precio_sin_desc,descuento,precio_con_desc,valoracion,num_valoraciones
notino,hombre,proraso,wood and spice,eau de cologne,22.5,0.0,22.5,,
notino,hombre,abercrombie & fitch,first instinct extreme,eau de parfum,30.8,0.0,30.8,,
notino,hombre,bond no. 9,governors island,eau de parfum,196.5,0.0,196.5,,
notino,hombre,truefitt & hill,spanish leather,eau de cologne,68.4,0.0,68.4,,
notino,hombre,str8,rise,eau de toilette,15.35,35.5,9.9,4.0,1.0
notino,hombre,str8,original,eau de toilette,14.2,0.0,14.2,,
notino,hombre,str8,live true,eau de toilette,9.9,0.0,9.9,,
notino,hombre,creed,bois du portugal,eau de parfum,208.5,0.0,208.5,,
notino,hombre,abercrombie & fitch,authentic,eau de toilette,81.2,66.13,27.5,5.0,4.0
notino,hombre,salvatore ferragamo,uomo urban feel,eau de toilette,94.5,63.81,34.2,4.7,3.0
notino,hombre,chanel,allure homme sport cologne,eau de cologne,109.8,0.0,109.8,,
notino,hombre,al haramain,oudh patchouli,eau de parfum,66.0,33.64,43.8,3.0,2.0
notino,hombre,police,frozen,eau de toilette,9.2,0.0,9.2,,
notino,hombre,ajmal,mosha'a,eau de parfum,26.62,46.28,14.3,4.0,1.0
notino,hombre,armaf,radical,eau de parfum,45.0,42.67,25.8,4.0,1.0
notino,hombre,reminiscence,patchouli,eau de toilette,118.0,63.98,42.5,4.1,10.0
notino,hombre,reminiscence,patchouli blanc,eau de parfum,44.2,0.0,44.2,,
notino,hombre,reminiscence,patchouli elixir,eau de parfum,102.0,56.67,44.2,5.0,2.0
notino,hombre,dsquared2,wood pour homme,eau de toilette,35.0,0.0,35.0,,
notino,hombre,police,gentleman,eau de toilette,14.3,0.0,14.3,,
notino,hombre,molinard,figue,eau de parfum,70.0,0.0,70.0,,
notino,hombre,ajmal,musk khas,parfum,23.1,34.2,15.2,5.0,2.0
notino,hombre,dolce&gabbana,the one for men intense,eau de parfum,126.0,18.89,102.2,4.0,1.0
notino,hombre,maison margiela,replica coffee break,eau de toilette,61.1,0.0,61.1,,
notino,hombre,lalique,noir premier illusion captive,eau de parfum,95.6,0.0,95.6,,
notino,hombre,the library of fragrance,destination collection cuba,eau de cologne,13.6,0.0,13.6,,
notino,hombre,chopard,gardens of the paradise orange mauresque,eau de parfum,336.0,20.0,268.8,4.5,2.0
notino,hombre,paco rabanne,1 million parfum,parfum,54.0,0.0,54.0,,
notino,hombre,the library of fragrance,thunderstorm,eau de cologne,12.8,0.0,12.8,,
notino,hombre,guerlain,les absolus d'orient oud essentiel,eau de parfum,171.4,8.75,156.4,5.0,1.0
notino,hombre,guerlain,les absolus d'orient patchouli ardent,eau de parfum,155.0,10.0,139.5,5.0,2.0
notino,hombre,guerlain,les absolus d'orient musc noble,eau de parfum,219.07,39.29,133.0,5.0,3.0
notino,hombre,guerlain,les absolus d'orient encens mythique,eau de parfum,141.8,0.0,141.8,,
notino,hombre,missoni,parfum pour homme,eau de parfum,79.0,58.35,32.9,4.3,11.0
notino,hombre,tommy hilfiger,impact,eau de toilette,41.8,0.0,41.8,,
notino,hombre,dsquared2,green wood,eau de toilette,35.0,0.0,35.0,,
notino,hombre,novellista,velvet dusk,eau de parfum,34.0,0.0,34.0,,
notino,hombre,novellista,deep moon,eau de parfum,30.6,0.0,30.6,,
notino,hombre,cuba,original gold,eau de toilette,6.6,28.79,4.7,4.3,10.0
notino,hombre,parfums de marly,layton exclusif,eau de parfum,235.0,0.0,235.0,,
notino,hombre,montblanc,legend,eau de parfum,94.5,53.44,44.0,5.0,1.0
notino,hombre,trussardi,black extreme,eau de toilette,44.4,0.0,44.4,,
notino,hombre,avon,luck for him,eau de toilette,17.4,0.0,17.4,,
notino,hombre,bond no. 9,downtown chez bond,eau de parfum,136.9,0.0,136.9,,
notino,hombre,guerlain,l'homme idéal,eau de toilette,58.5,9.91,52.7,5.0,2.0
notino,hombre,jimmy choo,man,eau de toilette,87.0,78.97,18.3,5.0,2.0
notino,hombre,memo,irish leather,eau de parfum,173.3,0.0,173.3,,
notino,hombre,escentric molecules,escentric 02,eau de toilette,90.0,0.0,90.0,,
notino,hombre,oriflame,be the legend,eau de toilette,19.1,0.0,19.1,,
notino,hombre,parfums de marly,godolphin,eau de parfum,190.0,0.0,190.0,,
notino,hombre,parfums de marly,darley,eau de parfum,220.0,0.0,220.0,,
notino,hombre,parfums de marly,pegasus,eau de parfum,190.0,0.0,190.0,,
notino,hombre,parfums de marly,shagya,eau de parfum,220.0,0.0,220.0,,
notino,hombre,parfums de marly,galloway,eau de parfum,190.0,0.0,190.0,,
notino,hombre,parfums de marly,habdan,eau de parfum,250.0,0.0,250.0,,
notino,hombre,houbigant,duc de vervins,eau de toilette,83.4,0.0,83.4,,
notino,hombre,juliette has a gun,anyway,eau de parfum,95.0,0.0,95.0,,
notino,hombre,histoires de parfums,noir patchouli,eau de parfum,65.5,0.0,65.5,,
notino,hombre,histoires de parfums,1828,eau de parfum,69.5,0.0,69.5,,
notino,hombre,perris monte carlo,musk extreme,eau de parfum,174.2,9.07,158.4,3.5,2.0
notino,hombre,memo,french leather,eau de parfum,277.5,16.47,231.8,5.0,1.0
notino,hombre,kenneth cole,mankind,eau de toilette,27.0,0.0,27.0,,
notino,hombre,etienne aigner,no. 1 oud,eau de parfum,38.8,10.05,34.9,5.0,2.0
notino,hombre,mexx,ice touch man (2014),eau de toilette,14.5,0.0,14.5,,
notino,hombre,gucci,guilty pour homme,eau de toilette,49.7,0.0,49.7,,
notino,hombre,tiziana terenzi,luna orion,parfum,275.0,0.0,275.0,,
notino,hombre,etro,magot,eau de toilette,112.5,0.0,112.5,,
notino,hombre,playboy,play it wild,eau de toilette,9.9,20.2,7.9,4.5,2.0
notino,hombre,abercrombie & fitch,first instinct,eau de toilette,84.0,73.33,22.4,4.3,3.0
notino,hombre,ajmal,sacrifice for him,eau de parfum,19.3,0.0,19.3,,
notino,hombre,liz claiborne,lucky you,eau de cologne,20.5,0.0,20.5,,
notino,hombre,jacques bogart,bogart story red,eau de toilette,28.9,0.0,28.9,,
notino,hombre,ajmal,shadow for him,eau de parfum,38.8,27.58,28.1,1.0,1.0
notino,hombre,ajmal,ii pour homme,eau de parfum,34.9,0.0,34.9,,
notino,hombre,ajmal,ambre pimente,eau de parfum,42.7,28.57,30.5,4.5,2.0
notino,hombre,clive christian,c for men,eau de parfum,267.0,0.0,267.0,,
notino,hombre,clive christian,v for men,eau de parfum,235.0,0.0,235.0,,
notino,hombre,etro,new tradition,eau de toilette,105.8,0.0,105.8,,
notino,hombre,ajmal,hatkora wood,eau de parfum,79.1,0.0,79.1,,
notino,hombre,ajmal,rose wood,eau de parfum,130.0,0.0,130.0,,
notino,hombre,ajmal,cuir musc,eau de parfum,135.8,38.51,83.5,4.0,1.0
notino,hombre,lacoste,eau de lacoste l.12.12 noir,eau de toilette,29.9,0.0,29.9,,
notino,hombre,lalique,noir premier terres aromatiques,eau de parfum,270.0,20.0,216.0,5.0,2.0
notino,hombre,v canto,mirabile,parfum,175.0,0.0,175.0,,
notino,hombre,hermès,colognes collection eau de néroli doré,eau de cologne,118.0,0.0,118.0,,
notino,hombre,hermès,colognes collection eau de rhubarbe écarlate,eau de cologne,87.0,0.0,87.0,,
notino,hombre,v canto,amans,parfum,175.0,0.0,175.0,,
notino,hombre,v canto,kashimire,parfum,175.0,0.0,175.0,,
notino,hombre,roja parfums,enigma,parfum,410.3,0.0,410.3,,
notino,hombre,lattafa,fakhar lattafa men,eau de parfum,36.7,50.14,18.3,4.3,10.0
notino,hombre,lattafa,ameer al oudh intense oud,eau de parfum,33.7,36.5,21.4,4.3,25.0
notino,hombre,lattafa,qaed al fursan,eau de parfum,28.0,32.86,18.8,4.4,18.0
notino,hombre,afnan,supremacy not only intense,parfum,51.4,0.0,51.4,,
notino,hombre,afnan,turathi blue homme,eau de parfum,37.2,3.23,36.0,4.6,44.0
notino,hombre,al haramain,amber oud gold edition,eau de parfum,104.22,46.17,56.1,4.9,17.0
notino,hombre,lattafa,opulent red,eau de parfum,32.8,43.29,18.6,4.7,29.0
notino,hombre,rasasi,daarej pour homme,eau de parfum,34.8,45.4,19.0,4.3,53.0
notino,hombre,lattafa,sheikh al shuyukh luxe edition,eau de parfum,27.3,31.14,18.8,4.6,27.0
notino,hombre,rasasi,shuhrah pour homme,eau de parfum,47.8,46.86,25.4,4.3,129.0
notino,hombre,rasasi,fattan pour homme,eau de parfum,28.4,45.77,15.4,4.4,30.0
notino,hombre,lattafa,opulent oud,eau de parfum,28.4,16.9,23.6,4.7,10.0
notino,hombre,lattafa,maahir black edition,eau de parfum,46.2,40.48,27.5,4.0,4.0
notino,hombre,lalique,encre noire a l'extreme,eau de parfum,123.0,75.04,30.7,4.4,40.0
